"responseid","manip","num_reason","reason"
"R_1ewNduTTZQQuJya",4,1,"a lot of tax incentives would have helped more of the rich"
"R_1ewNduTTZQQuJya",4,2,"poor decisions made reagrding NHS funding would have hindered poor people more"
"R_21n9TD0QZJOEeY8",4,1,"People need jobs"
"R_21n9TD0QZJOEeY8",4,2,"Pay is bad"
"R_2qlVs7K3Ko5yByn",5,1,"Poorer people cannot afford quality food."
"R_2qlVs7K3Ko5yByn",5,2,"Poorer people cannot see a doctor."
"R_3fE6PunPKT03dqz",4,1,"Could not work from home"
"R_3fE6PunPKT03dqz",4,2,"Didn't receive enough help from government to pay bills during this time."
"R_2aCy1U5SczUV06g",4,1,"They allowed the disproportion"
"R_2aCy1U5SczUV06g",4,2,"They did not provide adequate support"
"R_ClTWTZcWnopcNAl",4,1,"They set laws"
"R_ClTWTZcWnopcNAl",4,2,"They have the information"
"R_1jcZlfYkikW78qp",4,1,"lockdowns lasted to long"
"R_1jcZlfYkikW78qp",4,2,"eat out to help out scheme did not help non food businesses"
"R_1GCzTKfntd3l4D5",4,1,"Lockdowns meant lower income workers often couldn't work"
"R_1GCzTKfntd3l4D5",4,2,"If they could work they were at risk of infection"
"R_3KPF3FAwCZ9FTa9",4,1,"This government and its members profited bring high earners"
"R_3KPF3FAwCZ9FTa9",4,2,"Government totally out of touch"
"R_3dSnhwQleROtUvJ",4,1,"The goverment made policies that would have affected this"
"R_3dSnhwQleROtUvJ",4,2,"The government did not do anything to stop the situation being exploited"
"R_2xQXLtRrD9zC7ZJ",4,1,"People who earnt a certain amount were furloughed whilst people on lower income weren't"
"R_2xQXLtRrD9zC7ZJ",4,2,"More support for rich people and poorer people were left to fend for themselves"
"R_32Xa2f8fr5sLq4F",4,1,"They should never have locked down in the first place. It was the response to covid that created the problems and not covid itsel."
"R_32Xa2f8fr5sLq4F",4,2,"Too many friends of those in high places being awarded government contracts."
"R_30hQN01vwWr8EET",2,1,"System is played by minority wealthy who hold majority wealth and government simply enable it to occur, even when unlawful by looking out for friends/donors"
"R_30hQN01vwWr8EET",2,2,"Business need to have stronger ethics and morals, too many dont pay enough tax by 'playing the system' and as lawful dont see the issue in having more money than can ever be spent in a lifetime."
"R_3meE1V1QKzSdmFr",5,1,"Poor financial handling"
"R_3meE1V1QKzSdmFr",5,2,"Slow reaction to the pand mic"
"R_eevxbS1BttH2xKp",4,1,"They introduced payments to everyone, including the already rich."
"R_eevxbS1BttH2xKp",4,2,"It was the lower income jobs that were hit more, and the government did not help those people more ."
"R_pB0EkQXJxFhT2Lv",3,1,"Everyone suffered in different ways during the pandemic"
"R_pB0EkQXJxFhT2Lv",3,2,"Job losses were wide spread in different sectors"
"R_1E4damrVhyCAd8G",5,1,"The response to lock down was wrong"
"R_1E4damrVhyCAd8G",5,2,"The lockdown and measures went on for too long"
"R_p40oSaQs8eK6IVj",4,1,"They govern the taxes"
"R_p40oSaQs8eK6IVj",4,2,"They didnt do enough to help the poorer"
"R_2EEiR1Hv5Ka53IZ",2,1,"Lockdowns were needed to stop deaths"
"R_2EEiR1Hv5Ka53IZ",2,2,"We can't blame all our problems on the government, people need to take responsibility for themselves"
"R_3DinAAjATXK2zNW",4,1,"Lack of preparedness for the pandemic."
"R_3DinAAjATXK2zNW",4,2,"Giving contracts to friends."
"R_e9FPy0WV3Q7i2o9",5,1,"Unethical PPE contracts"
"R_e9FPy0WV3Q7i2o9",5,2,"Lack of long covid financial support"
"R_10N5OKJkRSdupFX",4,1,"no regulations to prevent high profit organisations from cutting labour"
"R_10N5OKJkRSdupFX",4,2,"no protections made to protect those whose jobs were able to be made redundant due to COVID changing the way jobs are performed"
"R_1lmfuv9qXM7xfkB",2,1,"The market has the mechanism to decide"
"R_1lmfuv9qXM7xfkB",2,2,"The poor group has no motivation to grow and rely too much on government"
"R_9KPy1rxNIZCFkdj",5,1,"Unfair to share the government help equally when some are wealthy already"
"R_9KPy1rxNIZCFkdj",5,2,"Living in a h.m.o. I saw none of the heating help whereas homeowners got the money"
"R_un80KqysUVBm8bT",4,1,"Unfair advantages to some"
"R_un80KqysUVBm8bT",4,2,"Lockdowns"
"R_2f7pmuVQByl3RpK",4,1,"Their policies meant that many businesses couldn’t afford to continue paying people whilst closed."
"R_2f7pmuVQByl3RpK",4,2,"Many lower income people were key workers and therefore couldn’t follow the same lockdown safety precautions."
"R_3qgj64SyBkPIB8a",4,1,"Large profits not taxed enough"
"R_3qgj64SyBkPIB8a",4,2,"Not enough help for small companies"
"R_O7nK5eOkLil6gQ9",4,1,"Company’s not protecting staff"
"R_O7nK5eOkLil6gQ9",4,2,"Company’s not paying staff enough"
"R_3QRj3GpxcPN70sB",3,1,"Furlough payments seemed pretty generous"
"R_3QRj3GpxcPN70sB",3,2,"I am unsure what more could have been done"
"R_28zFcaTBoenqKKR",4,1,"not enough financial support for low income families"
"R_28zFcaTBoenqKKR",4,2,"need to tax higher earners more"
"R_26m4Y6dhNthBids",2,1,"They had the furlough scheme"
"R_26m4Y6dhNthBids",2,2,"This government doesn’t really do a lot"
"R_1CBVI3T2zUnUW9R",4,1,"Greed"
"R_1CBVI3T2zUnUW9R",4,2,"Dishonesty"
"R_vwQ0ocPgsY4sK3L",3,1,"the govt paid people to stay at home instead of going to work"
"R_vwQ0ocPgsY4sK3L",3,2,"altho lower income groups tended to have the more essential jobs so could not stay home - unlike office workers"
"R_1H0inR7winfKN8x",4,1,"its their choices we have nothing to say about, we have no influence on anything really"
"R_1H0inR7winfKN8x",4,2,"brexit blowback and then covid really did a number on the UK."
"R_xciQUR6MLPWVtfP",5,1,"They didnt tax big oil"
"R_xciQUR6MLPWVtfP",5,2,"fraud was huge, didnt take it seriously"
"R_zc0MfRGbMwv3Ydj",4,1,"Couldn’t make a concrete decision and causing multiple disruptions"
"R_zc0MfRGbMwv3Ydj",4,2,"Not having a financial plan in place prior to the pandemic"
"R_3fCBU9HRmWri97m",4,1,"Lack of support to lower income workers unable to work remotely"
"R_3fCBU9HRmWri97m",4,2,"Poor long term investment into health outcomes for poorer areas"
"R_25NI1eyA7tBoZ4f",4,1,"it's a right wing government that moved to far to the right"
"R_25NI1eyA7tBoZ4f",4,2,"not enough support for entities that needed it"
"R_2ZCfStnFE4KCYQF",4,1,"they are"
"R_2ZCfStnFE4KCYQF",4,2,"they are"
"R_2xM1WKgAKchK2QF",4,1,"Financial assistance was given widely, without means testing"
"R_2xM1WKgAKchK2QF",4,2,"Universal credit was not increased enough to cope with the higher expenses and reduced earnings  brought about by the pandemic."
"R_CfxJZpZDoJjzqFP",5,1,"The pandemic support (QE) continued for longer than it should have"
"R_CfxJZpZDoJjzqFP",5,2,"The lockdown policies were not fully backed by science"
"R_2DU3DpVHpmN5k9b",4,1,"more bennefits should have gone to poorer faimiles"
"R_2DU3DpVHpmN5k9b",4,2,"the rich could have been taxed more at the time"
"R_2VIK1TkjHMKeG4x",3,1,"I don't know enough about it"
"R_2VIK1TkjHMKeG4x",3,2,"I don't know enough about it"
"R_2v6XuXJKZRop6FI",4,1,"due to health and social inequality the poor were more affect by government policy"
"R_2v6XuXJKZRop6FI",4,2,"wealthy people gained from the pandemic financially"
"R_1DSaPVRS7JyIJ46",2,1,"The government did put in place schemes to assist the lower paid people."
"R_1DSaPVRS7JyIJ46",2,2,"They are limited what they can do due to finances."
"R_1r1TTNoaKFapVs9",5,1,"More lower income people were put onto furlough or laid off"
"R_1r1TTNoaKFapVs9",5,2,"Increased cost of living affected lower income households more"
"R_2QzIscmGgxelntg",4,1,"Because we was lied to"
"R_2QzIscmGgxelntg",4,2,"The constant pressure from the media"
"R_1LOtSyDIumc1cyh",4,1,"Poor planning"
"R_1LOtSyDIumc1cyh",4,2,"Poor provision of PPE"
"R_2rouI7F2X9UBRq6",4,1,"Lower-income groups can be less financially astute."
"R_2rouI7F2X9UBRq6",4,2,"Certain payments were made to everybody, regardless of their income."
"R_2CHAKAgpvoazSkP",5,1,"Grants being paid to be people who werent necessarily due them"
"R_2CHAKAgpvoazSkP",5,2,"Self employed people who weren’t given any grants and left with nothing to live on"
"R_3jdhLmzcecK7KBz",4,1,"Not enough support"
"R_3jdhLmzcecK7KBz",4,2,"Unfair circumstances"
"R_8xoBti7yFKw9L2h",3,1,"The pandemic was something nobody was prepared for, even government"
"R_8xoBti7yFKw9L2h",3,2,"Being lower income would not have caused more infections as the lower income people were able to follow the same advice as higher income families with regard to their safety and covid infections."
"R_3HTZCRQ7cStq8Az",2,1,"They had to protect the health of people as a priority"
"R_3HTZCRQ7cStq8Az",2,2,"They did what they could to support Businesses carry on during the pandemic"
"R_3dFD1WCBCuFSFWB",2,1,"The unequal burden is due to people having different jobs"
"R_3dFD1WCBCuFSFWB",2,2,"Vaccination was made optional, not mandatory"
"R_3kyTjDi74iZ8pW8",2,1,"Government can't be held responsible for people catching covid infections."
"R_3kyTjDi74iZ8pW8",2,2,"Some people used the pandemic as an excuse not to work"
"R_3PbCuTguUE0KmIz",4,1,"They didn't make the benefits for people on furlough good enough"
"R_3PbCuTguUE0KmIz",4,2,"they didn't support small businesses enough with the return to work from furlough"
"R_3pgJJyrfzVzSNAI",2,1,"because people already with jobs were furloughed and paid by the government"
"R_3pgJJyrfzVzSNAI",2,2,"the government could not have been prepared for an event like this"
"R_3oUgkpslNIXcjtj",4,1,"not regulating people making money off the pandemic"
"R_3oUgkpslNIXcjtj",4,2,"poor people not getting enough money or child care help"
"R_2rxvvzVzXCGCxGI",5,1,"-99"
"R_2rxvvzVzXCGCxGI",5,2,"-99"
"R_3fiNccVcI25w1KF",4,1,"It's more complicated than that"
"R_3fiNccVcI25w1KF",4,2,"Companies will always try to profit from chaos"
"R_2VmbUqpyHGiEBJb",5,1,"the way they handled the pandemic shut down businesses"
"R_2VmbUqpyHGiEBJb",5,2,"not enough support policies in place to help"
"R_32VNuJS9L5coAe6",4,1,"A failure to recognise the impact on lower income households, who do not have the resources to cope with a crisis."
"R_32VNuJS9L5coAe6",4,2,"A failure to adequately support smaller self-employed concerns, who do not have resources to cope in the interim whilst awaiting any government support"
"R_Cm4hJQAKz0NWgy5",4,1,"lockdowns caused businesses to close, job loss"
"R_Cm4hJQAKz0NWgy5",4,2,"-"
"R_29RpuIC5oDPu6at",4,1,"Too busy trying to save the economy rather than people"
"R_29RpuIC5oDPu6at",4,2,"Didn’t act harsh enough"
"R_pbyNXX7aU7rLHmF",4,1,"they didn't have the support available for lower income households"
"R_pbyNXX7aU7rLHmF",4,2,"covid infections more likely for lower paid key workers who were still having to go into work"
"R_1MYgCR1rTUGebxp",5,1,"Politicians made policy decisions in favour of corporations who paid them"
"R_1MYgCR1rTUGebxp",5,2,"The pandemic was handled poorly, and the consequences of the pandemic disproportionally affected lower income households"
"R_3nCSdzlcWrBv70M",2,1,"The restrictions applied to everyone regardless of wealth"
"R_3nCSdzlcWrBv70M",2,2,"Companies were struggling before the pandemic"
"R_2zNLR6yreFltLV2",3,1,"furlough was used to replace income for some not allowed to work whilst others still had to eg cafe worker vs NHS nurse"
"R_2zNLR6yreFltLV2",3,2,"people chose to flout the rules eg school shut / operated separation policies but parents met up outside school"
"R_2aA12UepVM9dUrn",4,1,"Higher up members of the government are probably rich"
"R_2aA12UepVM9dUrn",4,2,"I’m not sure who else’s fault it could be other than the government"
"R_xznhMh4rkMcRpzb",4,1,"Furlough pay"
"R_xznhMh4rkMcRpzb",4,2,"Handing out contracts to their friends"
"R_31yLbzfMYgfRaU6",4,1,"The government had the only say in what businesses could continue business as normal"
"R_31yLbzfMYgfRaU6",4,2,"The government decided what medical services/equipment, and therefore businesses, were used in pandemic measures"
"R_3kALZpukHTSyUTE",4,1,"Profiteering/fraud was left unchecked"
"R_3kALZpukHTSyUTE",4,2,"Government was corrupt and self-interested"
"R_1K3VlqIeXlPzgUe",4,1,"many people in low income households lost their jobs due to the lockdown"
"R_1K3VlqIeXlPzgUe",4,2,"low income households struggled financially"
"R_1M3Zg9F0KtGO0FE",4,1,"Government are the ones that make the rules and should know this would happen"
"R_1M3Zg9F0KtGO0FE",4,2,"Poorest in the country, working class struggled with so much less"
"R_PXUdNoWxG2sFzA5",3,1,"the pandemic was out of control and out of anyone's hands"
"R_PXUdNoWxG2sFzA5",3,2,"funding was limited"
"R_BVwr0buk07PDBV7",4,1,"Putting the poor at unnessecary rick"
"R_BVwr0buk07PDBV7",4,2,"Gave a lot of deals to their ""mates"""
"R_1poPJUefr5bPvzK",5,1,"Problem with employment"
"R_1poPJUefr5bPvzK",5,2,"Not enough support"
"R_2WScJoprLeyE8Un",5,1,"Not enough support for the poor."
"R_2WScJoprLeyE8Un",5,2,"Too many grants for large empires."
"R_2DZG9i4C7Lf1RL8",5,1,"The government put too many demands on businesses - that were already struggling"
"R_2DZG9i4C7Lf1RL8",5,2,"Not enough help given to businesses affected by governments rules, such as reducing or stopping public into nusiness premises (such as pubs)"
"R_XYshIFETpxKijKx",4,1,"They lied to the poor"
"R_XYshIFETpxKijKx",4,2,"We had to conform and they didn't"
"R_8hKQtrKbi2f21AB",4,1,"They gave contracts to their buddies"
"R_8hKQtrKbi2f21AB",4,2,"They are completely corrupt."
"R_3NPtSLuNLC26dxy",5,1,"Their friends getting multi million pound contracts for PEP"
"R_3NPtSLuNLC26dxy",5,2,"Their policies are what caused people to lose jobs"
"R_28IJu0tJOyJqZcU",2,1,"There was a lot of government support such as furlough"
"R_28IJu0tJOyJqZcU",2,2,"The government did what it could to stem the pandemic"
"R_1ZzmHQU1ObI4q7D",4,1,"There has long been an unequal burden on the poorer"
"R_1ZzmHQU1ObI4q7D",4,2,"They look mainly at the rich for effects of things, which is completely different to how it affects the poor"
"R_1jeVcuj4Geds9xr",5,1,"they gave deals to friends, family and other networks"
"R_1jeVcuj4Geds9xr",5,2,"closing down workplaces meant some [eople could not even earn the lower income"
"R_2yr5skxYNiRpXuJ",2,1,"Lower-income groups probably ignored the rules"
"R_2yr5skxYNiRpXuJ",2,2,"Lower-income groups should work harder to have better jobs"
"R_shDNg7BMV4RVsMF",2,1,"Personal responsibility"
"R_shDNg7BMV4RVsMF",2,2,"Personal choices"
"R_3EMEVDmwUIeieEA",4,1,"failure to tax profits"
"R_3EMEVDmwUIeieEA",4,2,"slow response"
"R_2YzwFALmLBX0Y9E",1,1,"There will always be financial inequality"
"R_2YzwFALmLBX0Y9E",1,2,"The government cannot fix everything"
"R_2scGRz8nWxOQOhH",2,1,"Lower income poel tend to live in higher population density areas where Covid would be transmitted more easily"
"R_2scGRz8nWxOQOhH",2,2,"Lower income people do the jobs where they cannot work from home"
"R_Q0w0XG9oBb1PM1H",5,1,"inadequate social safety nets"
"R_Q0w0XG9oBb1PM1H",5,2,"inadequate allocation of resources"
"R_2cdxu0tpNhnj0LI",4,1,"They did a poor job with balancing finances"
"R_2cdxu0tpNhnj0LI",4,2,"They offered schemes that helped the rich"
"R_1PTLtI22VRZI3Xj",4,1,"People lost jobs"
"R_1PTLtI22VRZI3Xj",4,2,"Couldn't afford to live"
"R_2bWBmErfXe2KkEN",5,1,"Printer too much money causing inflation"
"R_2bWBmErfXe2KkEN",5,2,"Didn’t allow companies to fail and instead supported them with grants"
"R_3O2konzsqYlLtv6",2,1,"Physical stores had no alternative but to close their doors"
"R_3O2konzsqYlLtv6",2,2,"online stores and shares in some companies thrived because consumers were forced to shop online"
"R_2ayQ2Hp7o8sXCQQ",4,1,"they benefited"
"R_2ayQ2Hp7o8sXCQQ",4,2,"they could have done more to help"
"R_30dT7jjoFfwRqCl",4,1,"People lost their jobs during the pandemic with no support in place"
"R_30dT7jjoFfwRqCl",4,2,"Many companies were unsafe leaving workers feeling that they had to go to work"
"R_TbZgM2aOwI66X7P",3,1,"I think they are to blame for not supporting those who were infected and are suffering long term."
"R_TbZgM2aOwI66X7P",3,2,"I don't think it's he fault of the government that jobs were lost, as they could never have predicted that outcome."
"R_2UWAe5KV3Ne99Qu",5,1,"They made it easy for rich people to milk the system."
"R_2UWAe5KV3Ne99Qu",5,2,"They made it hard for sole self employed people get the same benefits as everyone else"
"R_2dnW7aeTwkjuymY",5,1,"they did'nt do enough to support during the pandemic"
"R_2dnW7aeTwkjuymY",5,2,"they favour the rich"
"R_1DuIIUbhf2bUwAM",4,1,"Working class people were left to take more of the burden of covid"
"R_1DuIIUbhf2bUwAM",4,2,"The government didn't follow their own rules that everyone else was expected to"
"R_6Qlgkvxp7sNOOqJ",4,1,"Many policies in place impacted SMBs, which are ran by individuals and families. They were forced to not open and sell products, impacting their livelihood. Huge business would have the cash reserves to help."
"R_6Qlgkvxp7sNOOqJ",4,2,"Schemes to put money into the hands of individuals in the form of furlough payments, fuelled inflation, higher house prices and other economics impacts. Negatively impacting those in lower income groups, as they don't have the financial capacity when compared to higher income groups who can weather these rising costs more"
"R_1JXEdDDtDpIFY8i",5,1,"lower income workers were in most cases frontline workers so had to go out to work and contracted covid 19 more"
"R_1JXEdDDtDpIFY8i",5,2,"the government made sure that any money to be made from the pandemic was filtered to their friends or themselves"
"R_1IAev9jf2dRcMvh",5,1,"The restrictions were too extreme meaning smaller companys struggled and laid people off"
"R_1IAev9jf2dRcMvh",5,2,"Government didnt control BBLS scheme, Furlough scheme or"
"R_2w6yyX4E5aSrVGb",5,1,"They should stop energy companies from increasing bills when they are still making a large profit"
"R_2w6yyX4E5aSrVGb",5,2,"They make rules that benefit the rich only"
"R_3PC5Oznz6BbU4nZ",4,1,"Government lack of support for the poor"
"R_3PC5Oznz6BbU4nZ",4,2,"Government cronyism and laxness on exploitation of the pandemic by the wealthy"
"R_20SDujHE5HD54Zg",5,1,"Failure to protect lower income families and favourtism towards the rich"
"R_20SDujHE5HD54Zg",5,2,"Failute to ""level up"" across Britain with poorest cities been forgotten"
"R_1pQhZ6kNaOGwp9b",4,1,"Governement should allow workers to work"
"R_1pQhZ6kNaOGwp9b",4,2,"Or Gorvernment should offer loans"
"R_1ez9FvXZDxdNaBc",5,1,"they put the rules in place regarding work"
"R_1ez9FvXZDxdNaBc",5,2,"they chose not to tax the rich."
"R_3s7k5dEl0I7PNjy",5,1,"Covid contracts given to unfit companies (i.e. PPE)"
"R_3s7k5dEl0I7PNjy",5,2,"Not enough help given to low income families (i.e. economic impact payments)"
"R_33ru1BhtuezSL5P",5,1,"Government policy strongly favoured subsidising companies to protect individuals, whilst possibly the only practical, it has the side effect of protecting companies more than individuals"
"R_33ru1BhtuezSL5P",5,2,"Printing money led to asset inflation which hugely favours those already with assets."
"R_3hF8s2Aarcu6Q8b",4,1,"Shutting down businesses that needed the money most."
"R_3hF8s2Aarcu6Q8b",4,2,"I'm not sure of a second one, sorry!"
"R_1DoG25jnmArOW6i",4,1,"The government wasted money on deals such as PPE that was not adequate"
"R_1DoG25jnmArOW6i",4,2,"The government locked down many businesses that employ low wage earners"
"R_UQgV98qsUxHZQt3",4,1,"It is situational, I somewhat agree as the government abused their power and used companies who are run by friends / colleagues to benefit from the pandemic, e.g. the creation of the tracking app and the ppe stuff"
"R_UQgV98qsUxHZQt3",4,2,"However, I only somewhat agree as everyone else was left to fend for themselves, unfortunately that means if you already had a lot of funds you were ok, and if you didn't you suffered. Everyone suffered equally, but the poorer felt it harder"
"R_3oBI6WDjPzwCqf1",4,1,"Cronyism"
"R_3oBI6WDjPzwCqf1",4,2,"too much focus on business, rather than people"
"R_rdT2GPzW8lFL1Bf",5,1,"PPE Contracts giving to unqualified organisations."
"R_rdT2GPzW8lFL1Bf",5,2,"No financial support for certain groups of people, especially the self employed."
"R_1rB1ITmwH6SYBAW",4,1,"Some people had no choice but to go out to work and so more chance of catching covid"
"R_1rB1ITmwH6SYBAW",4,2,"-"
"R_22z84mULEUCy76h",4,1,"Their economic policy does not allow for equity"
"R_22z84mULEUCy76h",4,2,"They did not invest enough in the NHS which caused excess deaths"
"R_2rrbnewxmdmRqqN",5,1,"Higher earners could afford to lose more"
"R_2rrbnewxmdmRqqN",5,2,"Lower paid workers had to continue to work to make money"
"R_2eajTNqz9He2Zar",5,1,"They closed workplaces without ensuring people would still be paid fully for being off work"
"R_2eajTNqz9He2Zar",5,2,"They did not deal with the pandemic properly at all, could've reduced a lot of risk to poorer people."
"R_3E1YspTobglkFe9",4,1,"Should have acted quicker"
"R_3E1YspTobglkFe9",4,2,"More support was needed"
"R_272VzmbUX2EYDJW",4,1,"Letting companies make large amounts of money but paying their employees the same"
"R_272VzmbUX2EYDJW",4,2,"Not supporting those low income workers who could not work remotely"
"R_1dmDnDSTj34q3qb",2,1,"Some policy will have been in effect prior to the current government being in office"
"R_1dmDnDSTj34q3qb",2,2,"Government could not have forseen Covid nor its impact"
"R_2VCOFgQfm6Jxz5z",4,1,"Protection of higher wage jobs with furlough whilst lower wage service jobs had to keep working at risk of getting covid"
"R_2VCOFgQfm6Jxz5z",4,2,"Tory government awarding contracts for PPE to people they know"
"R_1N3RwLqIm6U0CnM",2,1,"Covid-19 jabs were available to all regardless of group"
"R_1N3RwLqIm6U0CnM",2,2,"I don't believe job losses were greater in the lower income groups"
"R_Z2dhLiyO8im8bHb",4,1,"Poor policy decisions - eg. too late to impose first lockdown and close borders - a policy that favoured business & the wealthy"
"R_Z2dhLiyO8im8bHb",4,2,"Eat out to help out - too soon, and caused further spread of the virus"
"R_2DUMIZjxLGDeE96",3,1,"aid was not distributed based on needs"
"R_2DUMIZjxLGDeE96",3,2,"several high earning jobs were able to work from home away from harm while low income workers were put more at risk"
"R_O1HWPm5kzj7CcYF",4,1,"poorer people are more likely to live in crowded houses"
"R_O1HWPm5kzj7CcYF",4,2,"the poor are more likely to work service jobs in which the business were affected"
"R_3LjMLp04OlSqnr2",4,1,"Massive profits were made and very little tax was paid."
"R_3LjMLp04OlSqnr2",4,2,"Big businesses recieved huge payouts from the government, even though they were making record profits."
"R_xzUYNxl9zzaL3Tr",2,1,"It's not pandemic policies - it's inherent structural unfairness. That's not just the current administration's fault"
"R_xzUYNxl9zzaL3Tr",2,2,"The government introduced policies that were technically against their normal postitions - e.g. furlough scheme - to try and reduce the burden."
"R_3fcT9XLc03z9hMd",4,1,"Lockdown rules"
"R_3fcT9XLc03z9hMd",4,2,"Unequal treatment of the classes"
"R_9N6qyNtAqQIF8g9",4,1,"for not mandating tax on the excessive profits made by corporations"
"R_9N6qyNtAqQIF8g9",4,2,"for not supporting the poor enough"
"R_3HHN8hd363pnifU",3,1,"I think cost of living payments helped low income people"
"R_3HHN8hd363pnifU",3,2,"i think the middle people were forgotten about, putting them at a bigger disadvantage."
"R_2uQW0zp8cXB2TOS",5,1,"They looked after themselves first before the public."
"R_2uQW0zp8cXB2TOS",5,2,"They were not educated nor prepared enough to act if a pandemic ever hit this country/world."
"R_2AMV65ZWZkAuW3y",2,1,"the government introduced furlough"
"R_2AMV65ZWZkAuW3y",2,2,"those on benefits who didn't work anyway would have seen no difference in their income if they were on benefits and had no risk off loosing it."
"R_1Q6HKjNeSA1MoEQ",4,1,"Didn't do enough to support low income families"
"R_1Q6HKjNeSA1MoEQ",4,2,"Governments have always favoured the higher networth people"
"R_3proiO1e697K6yw",4,1,"Many lower income people were unable to work from home due to the nature of the industry they worked in."
"R_3proiO1e697K6yw",4,2,"Many lower income people worked in industries that were badly affected, such as hospitality, certain areas of retail etc."
"R_2ZQSwY3s1iYqTFH",4,1,"The rich got richer"
"R_2ZQSwY3s1iYqTFH",4,2,"Not much incentive for middle class people"
"R_1mIcvu235W7e6cP",4,1,"More benefits could have been given to lower-income groups"
"R_1mIcvu235W7e6cP",4,2,"The government could have done more to offer job solutions all round."
"R_2t4FQtnhsKlDXo6",4,1,"Not taxing the rich"
"R_2t4FQtnhsKlDXo6",4,2,"Letting the poor get poorer"
"R_DpIa303ktAvVldv",4,1,"They made sure the people in their circles made money from it"
"R_DpIa303ktAvVldv",4,2,"disadvantaged people were not given enough support"
"R_1rkmw3wlxj8P304",5,1,"The polices implemented"
"R_1rkmw3wlxj8P304",5,2,"Clear benefit to those in power"
"R_6xSDvacmehIbvWN",4,1,"The government acted quite slowly in terms of equal legislation"
"R_6xSDvacmehIbvWN",4,2,"The government itself is made up of upper-class individuals, which sways their policies"
"R_d0GcPYeG43jKFqN",4,1,"The government should have stepped in to curtail massive profiteering being made as a result of the pandemic."
"R_d0GcPYeG43jKFqN",4,2,"Massive profits were made by the richest individuals while lower income individuals suffered increased hardships and employment disruption during the pandemic.  This was seen statistically with increased death rate within those poorer living in households when compared to those living in richer households."
"R_3HTxCUaCk1158Hv",4,1,"businesses weren't taxed enough"
"R_3HTxCUaCk1158Hv",4,2,"Governments like SNP hid away money for political gain"
"R_tWgqkwQ6LnMBRsJ",4,1,"Corruption"
"R_tWgqkwQ6LnMBRsJ",4,2,"Looking after their own"
"R_1q9vtLs7znmQMkZ",4,1,"lower paid people were more likely to lose their jobs"
"R_1q9vtLs7znmQMkZ",4,2,"this group were being paid a lot less to begin with and not working emphasised this"
"R_3FX9hChD0bLjoT5",4,1,"government did not provide enough support"
"R_3FX9hChD0bLjoT5",4,2,"not enough help with rising costs. left families relying on foodbanks"
"R_2yk1sAcTSfhbUqH",2,1,"People need to take personal responsibility"
"R_2yk1sAcTSfhbUqH",2,2,"Government can’t be responsible for everything"
"R_1rCDwYHmkCpCqOI",2,1,"The government wasn't able to control the businesses that left people unemployed, and brought out a relief scheme to help"
"R_1rCDwYHmkCpCqOI",2,2,"In terms of covid infection rates, the government provided advice about not going out and socialising, and cannot control how many people act"
"R_3g4JER4SUv31HPH",4,1,"Could of had better policies"
"R_3g4JER4SUv31HPH",4,2,"Stronger focus on those less fortunate"
"R_3kIl1wK0ecOqlz9",5,1,"They had policies and processes in place which benefited the rich unfairly - “ordinary” companies didn’t have access to VIP lanes"
"R_3kIl1wK0ecOqlz9",5,2,"They delayed lockdown and mishandled the entire situation. They are responsible for excess deaths"
"R_1rdn43L56KwR08Y",4,1,"Not enough long term job support given"
"R_1rdn43L56KwR08Y",4,2,"poorest more affected by resultant tax rises"
"R_5pAXJM0ZiARgVCp",4,1,"They could have put a better solution into place"
"R_5pAXJM0ZiARgVCp",4,2,"There was not enough help for the lower paid workers"
"R_2Qidc1IJufDBHT3",4,1,"they do not have money to the cost of living"
"R_2Qidc1IJufDBHT3",4,2,"the tax will burden them from the low income"
"R_3MbZFAJ1IYSNuwM",4,1,"they paid out money to firms & individuals who had not been checked and allowed them to make huge profits"
"R_3MbZFAJ1IYSNuwM",4,2,"Allowed companies to make massive profits off a pandemic"
"R_1gb6DWmLYAoKRP2",4,1,"they pretend to care about the poor whilst continuing to raid social care pots of money"
"R_1gb6DWmLYAoKRP2",4,2,"the way they conducted themselves during the pandemic was appalling. they were laughing in the face of poor people with their rule breaking and money making"
"R_1MRNy0Nn9qrxloB",5,1,"government handing money to friends and donors rather than spending it on helping the poorest"
"R_1MRNy0Nn9qrxloB",5,2,"government failing to help the self employed adequately."
"R_3JezKw01gkMNFxS",4,1,"Not enough help for the poor to working class people who suffered from losing jobs or restrictions of going to work."
"R_3JezKw01gkMNFxS",4,2,"Rewarding ppe contracts to connected and rich organisations without proper consideration for all companies who had better ppe offerings."
"R_ZxVNCRQVCzeZJ4Z",1,1,"The government spent a reported £400 Billion on propping up peoples jobs during the pandemic"
"R_ZxVNCRQVCzeZJ4Z",1,2,"The dash to vaccinate everyone can only be seen as a valiant attempt to protect everyone despite in hindsight the pharmaceutical industry were greedy for the business rather than saving lives.  Vitamin D for everyone would probably have been just as or more effective."
"R_zUSBIqNV858RwSR",4,1,"Lack of government regulation on zero hour contracts"
"R_zUSBIqNV858RwSR",4,2,"Lack of government support for hospitality industries"
"R_2corlvX1dVJFczz",5,1,"The idea that masks were sold and not free were sickening"
"R_2corlvX1dVJFczz",5,2,"Lockdown in which the government decided to do only helped the rich more."
